,Lifetime
1954,1520427.6996914062
1955,1520886.9999683674
1956,1521346.3002453286
1957,1521805.6005222902
1958,1522264.900799251
1959,1522724.2010762126
1960,1523183.501353174
1961,1523642.801630135
1962,1524102.1019070963
1963,1524561.4021840577
1964,1525020.7024610187
1965,1525480.0027379803
1966,1525939.3030149413
1967,1526398.6032919027
1968,1526857.9035688639
1969,1527317.2038458253
1970,1527776.5041227865
1971,1526595.3592860608
1972,1525414.2144493351
1973,1524233.0696126097
1974,1523051.924775884
1975,1521870.779939158
1976,1520689.6351024322
1977,1519508.4902657066
1978,1518327.345428981
1979,1517146.2005922552
1980,1515965.0557555296
1981,1516103.275751669
1982,1516241.4957478081
1983,1516379.7157439475
1984,1516517.935740087
1985,1516656.1557362266
1986,1516794.3757323658
1987,1516932.5957285054
1988,1517070.8157246446
1989,1517209.035720784
1990,1517347.2557169232
1991,1521504.0466863266
1992,1525660.8376557303
1993,1529817.628625134
1994,1533974.4195945377
1995,1538131.2105639414
1996,1542288.0015333446
1997,1546444.7925027483
1998,1550601.583472152
1999,1554758.3744415557
2000,1558915.165410959
2001,1563388.0886497064
2002,1567861.011888454
2003,1572333.9351272015
2004,1576806.8583659492
2005,1581279.7816046968
2006,1585752.7048434443
2007,1590225.6280821918
2008,1581623.4132420092
2009,1573021.1984018264
2010,1564418.9835616439
2011,1563134.6130993152
2012,1561850.2426369863
2013,1560565.8721746574
2014,1559281.5017123288
2015,1563402.3289954339
2016,1567523.1562785388
2017,1571643.9835616439
2018,1565932.5061643836
2019,1560221.0287671234
2020,1526447.4910958905
