Year,rcp_hist_85,ceds_v2017_gains_v4,ceds_v2021_gains_v4,ceds_v17_ssp,edgar_v6,ceds_v2021,GFEDv41s
1950,163.598,148.86472757401697,163.17450659965715,140.0104525128931,145.72559245704448,165.44423622518232,0.0
1951,168.029,153.789126144623,168.5722681792709,144.64195443722627,150.5461494210129,170.9170797500342,10.622804581731907
1952,172.46,158.71352471522906,173.97002975888466,149.27345636155948,155.3667063849813,176.38992327488606,11.291742615943177
1953,176.89100000000002,163.6379232858351,179.36779133849842,153.90495828589266,160.18726334894973,181.86276679973793,11.767439013634112
1954,181.322,168.56232185644114,184.76555291811218,158.53646021022587,165.00782031291814,187.3356103245898,11.823192099203837
1955,185.753,173.48672042704717,190.16331449772593,163.16796213455905,169.82837727688656,192.80845384944166,11.558718672965448
1956,190.184,178.4111189976532,195.5610760773397,167.79946405889223,174.64893424085497,198.28129737429353,12.85787309012458
1957,194.615,183.33551756825926,200.95883765695348,172.43096598322543,179.46949120482338,203.7541408991454,13.609969098323232
1958,199.046,188.2599161388653,206.35659923656723,177.0624679075586,184.2900481687918,209.22698442399727,11.302892375089357
1959,203.47699999999998,193.18431470947135,211.754360816181,181.69396983189182,189.1106051327602,214.69982794884913,10.970090463626152
1960,207.908,198.10871328007738,217.15212239579475,186.325471756225,193.93116209672863,220.172671473701,10.91083565563655
1961,210.49439999999998,203.0942789915696,222.6169308722582,191.014502681645,198.81159635997273,225.7134945063309,14.10357580858203
1962,213.08079999999998,208.07984470306184,228.08173934872167,195.703533607065,203.69203062321682,231.2543175389608,11.484114158469312
1963,215.66719999999998,213.06541041455404,233.54654782518514,200.392564532485,208.57246488646092,236.7951405715907,15.78127602366914
1964,218.25359999999998,218.05097612604627,239.0113563016486,205.08159545790502,213.45289914970502,242.3359636042206,11.449125768169935
1965,220.83999999999997,223.0365418375385,244.47616477811204,209.770626383325,218.33333341294912,247.8767866368505,12.872163636579376
1966,223.4264,228.02210754903072,249.9409732545755,214.45965730874502,223.21376767619319,253.41760966948038,11.825436915051997
1967,226.0128,233.00767326052295,255.40578173103899,219.14868823416504,228.09420193943728,258.9584327021103,13.160536717690585
1968,228.5992,237.99323897201515,260.87059020750246,223.83771915958505,232.97463620268138,264.4992557347402,11.470801027206385
1969,231.1856,242.97880468350738,266.3353986839659,228.52675008500503,237.85507046592548,270.0400787673701,10.629559746763045
1970,233.772,247.9643703949996,271.80020716042935,233.21578101042505,242.7355047291696,275.5809018,11.174540671995082
1971,237.1662,252.68341781842253,280.79750760468175,237.6541457993891,245.9789147201879,284.6989193,11.595877857590969
1972,240.5604,256.97264664455736,290.28831835323905,241.68825702684487,249.3935842714001,294.3079798,15.484570690596684
1973,243.9546,264.3265966648756,305.6540316618476,248.60480392738592,255.52664303810067,309.8620086,11.647771875202343
1974,247.34879999999998,266.09410920827867,308.18481633968594,250.267187186718,257.2838288576477,312.4189173,11.488898954878682
1975,250.743,267.9579031504522,302.50092138747465,252.0201251558871,260.0610891431968,306.6921293,10.96779484263963
1976,254.1372,274.215339829912,316.092737801823,257.9053778637613,263.07643664500785,320.4556164,11.97539910976633
1977,257.5314,278.46407725828504,315.44796156987536,261.9014060676836,265.660792778988,319.80762780000003,12.061748863067413
1978,260.9256,281.1538457376004,325.46228692086316,264.43119071231416,267.24805448347405,329.985542,11.829238029870098
1979,264.3198,286.6188375440971,327.30019674230755,269.57113210928753,271.4029389812672,331.83934980000004,11.962303452212051
1980,267.714,288.4343927601773,319.9731202095071,271.2787005273276,270.23582320006886,324.4330668,12.00129277683575
1981,269.9508,285.1440475744976,304.14198796077807,268.1840606762482,265.9897803563028,308.4052036,11.538822626233028
1982,272.1876,286.53084041114755,303.1088136169774,269.48836892821106,267.1431577297685,307.3600263,18.12626173862149
1983,274.4244,287.84648231167705,299.74880731900066,270.7257582066516,268.2107286669705,303.9514575,10.831946400675871
1984,276.6612,290.5822767451735,297.78889707116883,273.2988312432152,272.431514220267,301.9670474,11.654805039972322
1985,278.898,291.07663516855916,296.6591324946237,273.76378588821245,275.1311114598595,300.8154831,11.873811535958405
1986,281.1348,296.33524732364435,299.0739056791591,278.7096228196454,278.92920372719135,303.2597853,12.06818971760044
1987,283.3716,298.48651113150476,298.773299714646,280.7329323310499,280.99640198397185,302.956498,14.29201605536719
1988,285.6084,304.39838161361575,304.78114902847454,286.29317265719715,286.79196853173386,309.0292734,12.382417919548944
1989,287.8452,309.16291750637237,308.43455311648944,290.7743203221273,292.9032004010361,312.7138082,11.396770496121402
1990,290.082,310.9,310.9,292.4080834703795,294.6906123421597,315.199043,12.891836600725586
1991,288.5625,308.0,308.0,291.33002243539585,292.8587269735193,314.2080702,27.48181044033709
1992,287.043,305.09999999999997,305.09999999999997,288.19513519327376,292.9042434828836,310.46373100000005,11.295552629389608
1993,285.5235,302.2,302.2,286.74199789130626,292.4268342309325,307.93013540000004,12.80618740051793
1994,284.004,299.29999999999995,299.29999999999995,287.5029446247641,294.39126308430554,309.3747573,22.893562338528582
1995,282.4845,296.4,296.4,292.0990063888516,298.28597847087207,310.7563565,13.461390772220325
1996,280.965,296.74,296.74,295.09591668999326,301.5238044390236,315.1576605,12.361142516210553
1997,279.4455,297.08,297.08,295.677796516877,301.2404142930985,314.73173820000005,35.78
1998,277.926,297.42,297.42,295.64915615703853,298.0806473511351,310.3914803,19.86
1999,276.4065,297.76,297.76,295.8090972813972,299.313853700966,308.1908282,13.780000000000001
2000,274.887,298.1,298.1,299.09555564195654,303.51158226734606,309.7946415,11.28
2001,282.6328,302.32,302.32,301.7705194228316,303.9628524514628,310.6738254,11.33
2002,290.3786,306.54,306.54,304.3649115198073,303.9907386331392,311.1347249,18.11
2003,298.1244,310.76,310.76,312.9713348116176,313.11569438246886,321.59281180000005,15.36
2004,305.8702,314.98,314.98,323.6099047856282,320.17206427252546,331.3321553,15.55
2005,313.616,319.2,319.2,331.274786418772,326.5318736712587,336.18041470000003,15.35
2006,319.96139999999997,320.82,320.82,337.0753574534424,332.8229993712408,341.9515305,19.63
2007,326.3068,322.44,322.44,341.4617524896731,335.97893862881966,343.42785230000004,13.8
2008,332.6522,324.06,324.06,349.14844432030714,341.6997476398012,346.8236323,11.61
2009,338.99760000000003,325.68,325.68,350.25377111581537,341.0102928669951,345.5836666,14.200000000000001
2010,345.343,327.3,327.3,357.2793157300012,346.97480313901116,351.94240210000004,13.88
2011,352.3145,330.58,330.58,360.814998542445,353.88466311704406,354.9218972,12.11
2012,359.286,333.86,333.86,366.7856580369786,358.67725290758517,356.6631616,14.3
2013,366.2575,337.14,337.14,370.05778643760544,360.8242144644898,358.4259324,11.82
2014,373.229,340.42,340.42,371.4987589286987,363.7261968225409,360.33284779999997,16.67
2015,380.20050000000003,343.7,343.7,376.982,365.7258223403408,359.77067719999997,21.75
2016,387.172,345.9,345.9,378.8788,367.3876497908962,357.30903350000006,12.1
2017,394.1435,348.09999999999997,348.09999999999997,380.7756,372.37821270802124,357.4851464,12.63
2018,401.115,350.3,350.3,382.67240000000004,375.33580491378086,360.71654800000005,12.47
2019,408.0865,352.5,352.5,384.5692,375.33580491378086,362.1444058,19.37
2020,415.058,354.7,354.7,386.466,375.33580491378086,362.1444058,12.86
